,players_used,mp,starts,min,90s,ga,ga90,sota,saves,save%,w,d,l,cs,cs%,gpkatt,pka,pksv,pkm,pksave%,psxg,psxg/sot,psxg+/-,/90,gls,sh,sot,sot%,sh/90,sot/90,g/sh,g/sot,dist,fk,pk,pkatt,xg,npxg,npxg/sh,g-xg,np:g-xg,total cmp,total att,total cmp%,total totdist,total prgdist,short cmp,short att,short cmp%,medium cmp,medium att,medium cmp%,long cmp,long att,long cmp%,ast,xag,xa,a-xag,kp,p1/3,ppa,crspa,prgp,patt,plive,dead,pfk,tb,sw,crs,ti,ck,in,out,str,cmp,off,blocks,sca,sca90,sca passlive,sca passdead,sca to,sca sh,sca fld,sca def,gca,gca90,gca passlive,gca passdead,gca to,gca sh,gca fld,gca def,tackles tkl,tackles tklw,tackles def 3rd,tackles mid 3rd,tackles att 3rd,challenges tkl,challenges att,challenges tkl%,challenges lost,blocks blocks,blocks sh,blocks pass,int,tkl+int,clr,err,poss,touches,def pen,def 3rd,mid 3rd,att 3rd,att pen,live,att,succ,succ%,tkld,tkld%,carries,totdist,prgdist,prgc,1/3,cpa,mis,dis,rec,prgr,crdy,crdr,2crdy,fls,fld,tklw,pkwon,pkcon,og,recov,won,lost,won%,opp_players_used,opp_90s,opp_gls,opp_sh,opp_sot,opp_sot%,opp_sh/90,opp_sot/90,opp_g/sh,opp_g/sot,opp_dist,opp_fk,opp_pk,opp_pkatt,opp_xg,opp_npxg,opp_npxg/sh,opp_g-xg,opp_np:g-xg,opp_total cmp,opp_total att,opp_total cmp%,opp_total totdist,opp_total prgdist,opp_short cmp,opp_short att,opp_short cmp%,opp_medium cmp,opp_medium att,opp_medium cmp%,opp_long cmp,opp_long att,opp_long cmp%,opp_ast,opp_xag,opp_xa,opp_a-xag,opp_kp,opp_p1/3,opp_ppa,opp_crspa,opp_prgp,opp_patt,opp_plive,opp_dead,opp_pfk,opp_tb,opp_sw,opp_crs,opp_ti,opp_ck,opp_in,opp_out,opp_str,opp_cmp,opp_off,opp_blocks,opp_poss,opp_touches,opp_def pen,opp_def 3rd,opp_mid 3rd,opp_att 3rd,opp_att pen,opp_live,opp_att,opp_succ,opp_succ%,opp_tkld,opp_tkld%,opp_carries,opp_totdist,opp_prgdist,opp_prgc,opp_1/3,opp_cpa,opp_mis,opp_dis,opp_rec,opp_prgr,tls
Leicester City,2,38,38,3420,38,68,1.79,178,113,64.0,9,7,22,7,18.4,5,4,1,0,20.0,55.4,0.29,-7.6,-0.2,49,412,142,34.5,10.84,3.74,0.11,0.32,17.7,14,3,6,50.6,45.8,0.11,-1.6,0.2,14887,18871,78.9,249219,89055,7245,8221,88.1,6087,7165,85.0,1165,2422,48.1,36,38.5,26.3,-2.5,319,1142,220,52,1304,18871,17049,1739,464,76,93,496,724,135,70,41,6,14887,83,393,744,19.58,540,52,50,50,38,14,87,2.29,59,2,8,8,7,3,700,412,345,292,63,308,669,46.0,361,517,170,347,367,1067,777,11,47.7,23125,2681,8408,10293,4641,688,23119,620,291,46.9,245,39.5,12503,63356,31619,580,363,175,548,313,14797,1294,63,2,2,410,397,412,5,5,5,2013,512,558,47.9,28,38,63,567,173,30.5,14.92,4.55,0.1,0.34,17.2,21,4,5,63.4,59.9,0.11,-0.4,-0.9,16629,20664,80.5,291365,98077,7582,8521,89.0,6972,8068,86.4,1633,2896,56.4,46,48.0,35.5,-2.0,418,1310,334,81,1575,20664,18816,1770,461,75,157,712,756,236,129,58,5,16629,78,402,52.4,24725,2155,7422,11141,6380,917,24720,771,361,46.8,308,39.9,13966,74211,38197,721,547,177,517,392,16475,1559,0.4114285714285715
Liverpool,2,38,38,3420,38,47,1.24,157,111,71.3,19,10,9,14,36.8,4,2,1,1,33.3,54.1,0.33,9.1,0.24,71,601,203,33.8,15.82,5.34,0.11,0.34,16.2,7,2,4,72.6,69.5,0.12,-1.6,-0.5,20043,24361,82.3,352929,120466,9023,10114,89.2,8561,9758,87.7,1962,3283,59.8,58,56.7,52.3,1.3,458,1615,452,85,1992,24361,22466,1811,416,103,198,799,860,235,56,155,1,20043,84,383,1046,27.53,778,85,55,75,33,20,129,3.39,97,9,7,8,7,1,590,370,228,250,112,281,648,43.4,367,350,74,276,333,923,568,19,60.8,28399,2310,8119,13329,7149,1252,28395,691,320,46.3,282,40.8,17146,82458,41527,719,569,234,584,413,19921,1974,57,1,0,405,321,370,3,4,2,2211,482,455,51.4,28,38,45,366,154,42.1,9.63,4.05,0.12,0.28,15.9,9,2,4,50.9,48.1,0.13,-5.9,-5.1,11949,15970,74.8,211445,82709,5604,6558,85.5,4725,5743,82.3,1275,2707,47.1,32,37.8,27.6,-5.8,283,908,232,58,1101,15970,14167,1715,466,76,122,515,677,134,75,34,1,11949,88,315,38.9,20607,3079,8404,8219,4189,677,20603,751,367,48.9,281,37.4,10557,53483,26434,505,332,166,586,309,11858,1090,0.3728813559322034
Manchester City,2,38,38,3420,38,33,0.87,92,60,67.4,28,5,5,13,34.2,3,3,0,0,0.0,30.3,0.3,-1.7,-0.05,92,590,205,34.7,15.53,5.39,0.14,0.4,16.6,20,9,10,78.7,71.1,0.12,13.3,11.9,23263,26642,87.3,396454,114920,11020,11888,92.7,9848,10836,90.9,1932,2849,67.8,69,57.6,57.6,11.4,464,1770,445,75,2073,26642,25047,1544,440,94,177,742,614,238,72,87,11,23263,51,350,1099,28.92,826,81,53,76,49,14,168,4.42,130,7,8,9,12,2,471,272,185,198,88,212,455,46.6,243,339,95,244,223,694,402,8,64.7,29895,2170,7410,14372,8301,1277,29885,702,334,47.6,239,34.0,19120,104039,56163,987,753,279,406,298,22992,2054,44,1,0,347,384,272,9,3,1,1866,438,364,54.6,24,38,32,291,89,30.6,7.66,2.34,0.1,0.33,17.2,11,3,3,32.1,29.8,0.11,-0.1,-0.8,11294,14441,78.2,202141,74164,5050,5740,88.0,4772,5482,87.0,1161,2406,48.3,21,23.8,19.9,-2.8,214,651,196,53,860,14441,12946,1423,382,30,104,395,489,97,50,25,5,11294,72,261,34.7,18167,3258,8426,6597,3319,561,18164,524,243,46.4,212,40.5,9792,49406,23535,434,310,125,442,259,11200,853,0.42250530785562634
Manchester Utd,1,38,38,3420,38,43,1.13,142,99,71.1,23,6,9,17,44.7,3,2,1,0,33.3,41.3,0.27,-0.7,-0.02,56,590,206,34.9,15.53,5.42,0.09,0.26,17.8,20,3,3,67.7,65.3,0.11,-11.7,-12.3,16603,20525,80.9,276625,97026,8273,9294,89.0,6359,7306,87.0,1438,2651,54.2,42,52.2,44.6,-10.2,478,1268,398,57,1595,20525,18827,1619,325,105,165,517,715,196,71,47,4,16603,79,420,1051,27.66,840,58,46,63,35,9,99,2.61,79,3,8,5,4,0,658,400,343,231,84,301,598,50.3,297,496,146,350,352,1010,771,10,53.7,24848,2639,8093,10389,6570,1036,24845,730,317,43.4,338,46.3,14245,70351,37126,711,515,239,497,293,16447,1578,78,2,0,424,297,400,2,3,1,2190,465,434,51.7,26,38,42,478,139,29.1,12.58,3.66,0.08,0.29,16.6,18,2,3,50.4,48.0,0.1,-8.4,-8.0,13767,17675,77.9,240301,90072,6443,7404,87.0,5597,6630,84.4,1365,2622,52.1,28,37.4,34.9,-9.4,357,952,301,78,1355,17675,15911,1721,476,45,105,670,651,207,105,59,4,13767,43,395,46.0,21994,2733,7668,9000,5563,975,21991,718,297,41.4,301,41.9,11694,65364,34500,697,492,206,572,357,13634,1343,0.39209726443769
Newcastle Utd,2,38,38,3418,38,33,0.87,127,94,75.6,19,14,5,14,36.8,5,2,2,1,50.0,33.2,0.24,2.2,0.06,64,565,184,32.6,14.87,4.84,0.1,0.32,15.6,15,6,6,72.0,67.4,0.12,-8.0,-9.4,13925,17837,78.1,246297,90893,6433,7370,87.3,5580,6605,84.5,1523,2774,54.9,42,51.9,45.0,-9.9,435,1083,403,64,1618,17837,16020,1746,447,88,142,740,728,270,106,90,15,13925,71,370,1008,26.53,690,110,62,77,57,12,106,2.79,64,6,15,10,6,5,607,360,268,254,85,307,642,47.8,335,448,116,332,333,940,680,10,52.3,22106,2088,6757,9053,6516,1161,22100,783,349,44.6,322,41.1,12021,64166,32968,694,493,227,576,363,13803,1599,61,1,0,406,399,360,2,5,2,2065,553,427,56.4,27,38,31,382,123,32.2,10.05,3.24,0.08,0.24,17.6,13,2,5,39.6,35.7,0.1,-8.6,-6.7,12444,16389,75.9,219793,81214,5805,6626,87.6,5082,6095,83.4,1271,2745,46.3,23,29.7,28.1,-6.7,301,961,230,56,1201,16389,14572,1761,460,49,116,564,717,162,76,52,2,12444,56,381,47.6,20772,2819,7684,8651,4660,722,20766,733,335,45.7,307,41.9,10893,57872,29370,600,367,167,525,300,12338,1188,0.4069192751235585
Nott'ham Forest,3,38,38,3420,38,68,1.79,182,112,65.9,9,11,18,8,21.1,9,6,2,1,25.0,60.1,0.3,-7.9,-0.21,36,362,111,30.7,9.53,2.92,0.09,0.3,17.2,9,3,6,39.3,34.6,0.1,-3.3,-1.6,9543,13606,70.1,177315,72656,4046,4952,81.7,4071,5126,79.4,1187,2708,43.8,22,26.3,20.5,-4.3,246,660,172,50,859,13606,11801,1738,446,31,66,530,720,128,65,53,1,9543,67,313,593,15.61,416,59,31,38,36,13,54,1.42,31,5,4,11,3,0,659,387,380,201,78,296,584,50.7,288,500,156,344,349,1008,944,6,37.6,17912,2715,7420,6953,3755,611,17906,569,254,44.6,235,41.3,8674,46411,24008,435,308,111,537,275,9452,847,84,0,0,445,390,387,3,9,0,1902,560,600,48.3,33,38,68,548,174,31.8,14.42,4.58,0.11,0.36,16.3,21,6,9,64.2,57.5,0.11,3.8,4.5,18444,22551,81.8,315466,104797,8568,9564,89.6,7833,8956,87.5,1577,2845,55.4,45,45.0,42.5,0.0,438,1523,392,80,1904,22551,20654,1839,477,79,123,817,816,239,99,93,6,18444,58,413,62.8,26490,2033,7131,12307,7232,1106,26481,697,288,41.3,296,42.5,15879,86558,47243,813,585,216,557,363,18267,1880,0.41274658573596357
Southampton,2,38,38,3420,38,73,1.92,150,81,52.7,6,7,25,4,10.5,3,2,1,0,33.3,46.3,0.29,-21.7,-0.57,36,413,132,32.0,10.87,3.47,0.08,0.26,18.1,17,2,4,37.7,34.5,0.09,-1.7,-0.5,12319,16391,75.2,211636,79814,5972,6925,86.2,4830,5823,82.9,1170,2625,44.6,25,28.2,26.0,-3.2,302,938,239,71,1125,16391,14585,1749,426,38,87,613,752,157,63,65,2,12319,57,375,718,18.89,493,77,46,51,38,13,61,1.61,35,5,7,5,6,3,713,426,377,279,57,297,609,48.8,312,542,165,377,428,1141,852,10,44.5,21095,2639,7452,8998,4880,712,21091,756,358,47.4,318,42.1,11323,61000,29819,588,453,131,567,400,12216,1112,73,0,0,430,378,426,3,3,5,2130,551,611,47.4,36,38,68,523,147,28.1,13.76,3.87,0.13,0.45,16.5,11,2,3,61.0,58.7,0.12,7.0,7.3,16376,20617,79.4,288473,104529,7450,8538,87.3,6901,8048,85.7,1618,2893,55.9,55,46.4,39.7,8.6,388,1334,389,88,1735,20617,18768,1796,471,78,164,686,802,208,82,71,4,16376,53,417,55.6,24922,2333,7919,11070,6171,1055,24919,688,312,45.3,297,43.2,14203,70838,35355,652,446,221,590,417,16240,1717,0.4025245441795231
Tottenham,2,38,38,3420,38,63,1.66,172,109,65.1,18,6,14,10,26.3,4,3,1,0,25.0,55.1,0.3,-6.9,-0.18,68,512,186,36.3,13.47,4.89,0.12,0.34,16.7,13,5,6,57.1,52.4,0.1,10.9,10.6,15972,19672,81.2,277567,92697,7333,8180,89.6,6707,7682,87.3,1499,2669,56.2,46,43.1,34.0,2.9,386,1071,323,104,1449,19672,17950,1655,404,74,165,719,664,203,113,51,0,15972,67,414,910,23.95,692,60,46,55,38,19,116,3.05,84,7,7,9,7,2,619,353,325,215,79,275,574,47.9,299,428,148,280,340,959,762,19,50.0,23836,2734,8571,10329,5135,842,23830,663,303,45.7,288,43.4,13676,71282,36837,692,465,189,521,356,15864,1436,77,3,1,424,353,353,5,4,1,1984,549,474,53.7,29,38,62,516,168,32.6,13.58,4.42,0.11,0.35,18.1,18,3,4,49.7,46.6,0.09,12.3,12.4,16079,19765,81.4,276347,90930,7658,8556,89.5,6515,7425,87.7,1511,2800,54.0,45,36.3,34.3,8.7,400,1359,300,77,1516,19765,18051,1667,467,58,123,665,648,196,87,56,14,16079,47,327,50.1,24011,2364,6699,10897,6627,935,24007,659,299,45.4,275,41.7,13878,69544,33624,685,524,212,541,344,15945,1497,0.4297253634894992
West Ham,2,38,38,3420,38,55,1.45,170,115,70.0,11,7,20,9,23.7,6,4,1,1,20.0,53.2,0.29,-0.8,-0.02,41,466,133,28.5,12.26,3.5,0.08,0.26,17.3,13,6,8,49.2,43.7,0.1,-8.2,-8.7,12369,16357,75.6,219013,84296,5883,6778,86.8,4784,5831,82.0,1383,2753,50.2,25,32.7,26.8,-7.7,340,990,212,80,1274,16357,14625,1670,347,41,162,768,722,206,129,57,1,12369,62,390,817,21.5,586,81,39,61,35,15,67,1.76,41,6,5,9,6,0,607,335,289,226,92,269,558,48.2,289,415,139,276,408,1015,810,10,42.1,20411,2362,6898,8702,4994,756,20403,607,242,39.9,266,43.8,10539,57433,28201,614,413,165,460,355,12256,1266,44,0,0,362,316,335,6,6,1,2023,620,587,51.4,25,38,54,493,165,33.5,12.97,4.34,0.1,0.3,17.6,10,4,6,53.0,48.4,0.1,1.0,1.6,18872,22778,82.9,315939,105899,9151,10095,90.6,7698,8792,87.6,1503,2780,54.1,42,39.8,34.7,2.2,369,1408,336,67,1721,22778,21093,1640,406,75,126,730,691,195,84,79,2,18872,45,320,58.2,27044,2677,8406,12186,6688,975,27038,648,289,44.6,269,41.5,16218,85059,44739,805,612,222,568,338,18736,1709,0.44810543657331137
Wolves,2,38,38,3420,38,58,1.53,174,115,67.8,11,8,19,11,28.9,4,2,2,0,50.0,52.2,0.28,-4.8,-0.13,28,409,119,29.1,10.76,3.13,0.06,0.21,18.0,18,3,3,36.8,34.5,0.09,-8.8,-9.5,14554,18294,79.6,264071,87310,6350,7195,88.3,6306,7257,86.9,1574,2890,54.5,12,25.4,21.0,-13.4,294,1110,252,71,1343,18294,16575,1657,430,49,149,661,663,185,61,86,2,14554,62,355,713,18.76,521,62,30,47,42,11,44,1.16,32,1,3,6,1,1,661,370,364,222,75,286,609,47.0,323,497,175,322,279,940,817,18,49.9,22539,2921,8544,9262,4960,686,22536,772,375,48.6,302,39.1,12373,67215,35065,610,421,142,516,327,14452,1331,85,6,1,463,389,370,1,4,1,2052,465,542,46.2,32,38,57,551,170,30.9,14.5,4.47,0.1,0.32,17.2,27,2,4,59.9,56.7,0.11,-2.9,-1.7,14585,18284,79.8,254508,93552,6776,7682,88.2,6056,7032,86.1,1388,2572,54.0,44,44.2,39.7,-0.2,399,1205,346,82,1596,18284,16482,1765,493,61,140,735,755,203,104,64,4,14585,37,364,49.8,22413,2222,6907,9715,6004,1041,22409,706,323,45.8,286,40.5,12748,69224,35818,702,495,218,570,375,14439,1575,0.4402420574886535
